,PARTICIPANT ID:,GALLEGOS-UCSF-999,,
,NAME:,Jose Gallegos,,
,AGE:,26,,
,AGE:,MALE,,
,HANDEDNESS:,RIGHT,,
,,,,
,,,,
,TIME:,2015-08-09T19:50:41-0700,,
,ADAPTIVITY:,YES,,
Feature_12,,,,
Position Is Top,Late Response,Response Window,Correct Button,Response Time
1,0,1000,1,669.8459983
0,0,990,1,653.0189514
0,0,980,1,599.4439721
0,0,960,1,562.1230006
0,0,920,1,640.9389973
1,0,840,1,747.9230165
1,0,680,1,604.475975
1,1,360,0,N/A
0,1,400,0,N/A
0,1,440,0,N/A
0,1,520,0,N/A
0,0,680,1,537.7800465
0,0,670,1,627.2099614
0,0,660,1,519.1360116
1,0,640,0,507.6550245
0,1,680,0,N/A
0,0,720,1,601.1629701
0,0,710,1,637.3569965
1,1,700,0,N/A
0,0,740,1,649.5810151
0,0,730,1,654.8890471
1,0,720,1,634.0100169
0,0,700,1,668.3299541
1,1,660,0,N/A
0,0,700,1,662.7110243
,,,,
,,,,
Feature_4,,,,
Position Is Top,Late Response,Response Window,Correct Button,Response Time
1,0,1000,1,678.6800027
0,0,990,0,749.0030527
0,0,1030,1,603.4580469
1,0,1020,1,592.46099
0,0,1010,1,576.8040419
0,0,990,1,613.1110191
1,0,950,1,617.1389818
0,0,870,1,529.8569798
0,0,710,1,506.8449974
0,1,390,0,N/A
0,1,430,0,N/A
0,1,470,0,N/A
0,1,550,0,N/A
0,0,710,1,535.6729627
1,0,700,1,646.6929913
0,1,690,0,N/A
0,1,730,0,N/A
0,0,770,1,542.1180129
0,0,760,1,596.5310335
0,0,750,1,659.9109769
1,0,730,1,687.9200339
0,1,690,0,N/A
1,0,730,1,527.6520252
1,0,720,1,685.6659651
1,0,710,1,634.3230009
,,,,
,,,,
Conjunction_12,,,,
Position Is Top,Late Response,Response Window,Correct Button,Response Time
0,1,1000,0,N/A
0,1,1040,0,N/A
1,1,1080,0,N/A
1,0,1160,1,1151.38495
0,1,1150,0,N/A
0,0,1190,1,695.6419945
0,0,1180,1,1072.542012
1,1,1170,0,N/A
1,0,1210,1,1073.758006
0,0,1200,1,807.215035
1,1,1190,0,N/A
0,1,1230,0,N/A
0,1,1270,0,N/A
0,0,1350,1,1009.814024
0,0,1340,1,1105.777979
1,0,1330,1,903.7560225
0,0,1310,1,736.7459536
0,1,1270,0,N/A
0,0,1310,1,695.8960295
1,0,1300,1,941.6970015
0,0,1290,1,766.8600082
1,0,1270,1,682.4190021
0,0,1230,1,1060.932994
0,1,1150,0,N/A
0,0,1190,1,1086.778045
,,,,
,,,,
Conjunction_4,,,,
Position Is Top,Late Response,Response Window,Correct Button,Response Time
1,1,1000,0,N/A
1,0,1040,1,640.0309801
0,0,1030,1,886.9140148
0,0,1020,1,850.7980108
0,0,1000,0,816.0289526
0,0,1040,1,762.1709704
1,1,1030,0,N/A
1,0,1070,1,838.424027
0,1,1060,0,N/A
0,0,1100,1,742.4830198
1,0,1090,1,1030.961037
0,0,1080,1,979.2910218
0,0,1060,1,703.6499977
0,0,1020,1,617.9099679
0,0,940,1,683.570981
0,0,780,1,741.5660024
0,1,460,0,N/A
0,1,500,0,N/A
0,0,540,1,524.8299837
0,1,530,0,N/A
0,1,570,0,N/A
0,1,610,0,N/A
1,1,690,0,N/A
1,1,850,0,N/A
1,0,1170,1,851.7869711
